member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
σπυριουνης πετρου κυριακος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,male,kuriakos_spuriounis
σπυριουνης πετρου κυριακος,2003-11-25,2004-02-11,ανεξαρτητοι (εκτος κομματος),α' θεσσαλονικης,male,kuriakos_spuriounis
σπυριουνης πετρου κυριακος,2000-04-09,2003-11-24,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,male,kuriakos_spuriounis
σπυροπουλος αποστολου ροβερτος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,αρκαδιας,male,robertos_spuropoulos
σπυροπουλος αποστολου ροβερτος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αρκαδιας,male,robertos_spuropoulos
σπυρου πετρου σπυριδων,1996-09-22,2000-03-14,νεα δημοκρατια,κερκυρας,male,spuridon_spurou
σπυρου πετρου σπυριδων,2000-04-09,2004-02-11,νεα δημοκρατια,κερκυρας,male,spuridon_spurou
σταθακης μηνα γεωργιος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,χανιων,male,georgios_stathakis
σταθακης μηνα γεωργιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,χανιων,male,georgios_stathakis
σταθακης μηνα γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,χανιων,male,georgios_stathakis
σταθακης μηνα γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,χανιων,male,georgios_stathakis
σταθακης παντελη αριστοτελης (αρης),2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male,aristotelis_stathakis
σταθακης παντελη αριστοτελης (αρης),2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male,aristotelis_stathakis
σταθας παναγιωτη ιωαννης,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,βοιωτιας,male,ioannis_stathas
σταθας παναγιωτη ιωαννης,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,βοιωτιας,male,ioannis_stathas
σταθας παναγιωτη ιωαννης,2015-08-21,2015-08-28,λαικη ενοτητα,βοιωτιας,male,ioannis_stathas
