member_name,role,role_start_date,role_end_date,gender,name
γεωργιος πασχαλιδης,υπουργος εμπορικης ναυτιλιας,07/07/2003,10/03/2004,male,georgios_pasxalidis
γεωργιος πασχαλιδης,υπουργος μακεδονιας-θρακης,13/04/2000,07/07/2003,male,georgios_pasxalidis
γεωργιος πεταλωτης,υφυπουργος εσωτερικων αποκεντρωσης και ηλεκτρονικης διακυβερνησης,30/09/2010,17/06/2011,male,georgios_petalotis
γεωργιος πεταλωτης,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,17/06/2011,11/11/2011,male,georgios_petalotis
γεωργιος πεταλωτης,υφυπουργος στον πρωθυπουργο,07/10/2009,30/09/2010,male,georgios_petalotis
γεωργιος πεταλωτης,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,11/11/2011,17/05/2012,male,georgios_petalotis
γεωργιος πλαγιανακος,υπουργος δικαιοσυνης,14/09/1993,13/10/1993,male,georgios_plagianakos
γεωργιος ρωμαιος,αναπληρωτης υπουργος εξωτερικων,15/09/1995,22/01/1996,male,georgios_romaios
γεωργιος ρωμαιος,αναπληρωτης υπουργος εθνικης οικονομιας,06/05/1994,15/09/1995,male,georgios_romaios
γεωργιος ρωμαιος,υφυπουργος εθνικης οικονομιας,13/10/1993,06/05/1994,male,georgios_romaios
γεωργιος ρωμαιος,αναπληρωτης υπουργος εξωτερικων,22/01/1996,25/09/1996,male,georgios_romaios
γεωργιος ρωμαιος,υπουργος δημοσιας ταξης,25/09/1996,30/10/1998,male,georgios_romaios
γεωργιος ρωμαιος,υπουργος τυπου και μεσων μαζικης ενημερωσης,13/02/2004,10/03/2004,male,georgios_romaios
γεωργιος σαλαγκουδης,υφυπουργος αναπτυξης,10/03/2004,15/02/2006,male,georgios_salagkoudis
γεωργιος σουρλας,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,08/08/1991,03/12/1992,male,georgios_sourlas
γεωργιος σουρλας,αναπληρωτης υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,11/04/1990,08/08/1991,male,georgios_sourlas
γεωργιος σουφλιας,υπουργος εθνικης οικονομιας,02/07/1989,12/10/1989,male,georgios_souflias
γεωργιος σουφλιας,υπουργος οικονομικων,23/11/1989,13/02/1990,male,georgios_souflias
γεωργιος σουφλιας,υπουργος εθνικης παιδειας και θρησκευματων,10/01/1991,13/10/1993,male,georgios_souflias
γεωργιος σουφλιας,υπουργος εθνικης οικονομιας,11/04/1990,01/10/1990,male,georgios_souflias
γεωργιος σουφλιας,υπουργος τουρισμου,11/04/1990,24/05/1990,male,georgios_souflias
γεωργιος σουφλιας,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,10/03/2004,19/09/2007,male,georgios_souflias
γεωργιος σουφλιας,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,19/09/2007,07/10/2009,male,georgios_souflias
γεωργιος σταθακης,υπουργος οικονομιας υποδομων ναυτιλιας και τουρισμου,27/01/2015,27/08/2015,male,georgios_stathakis
γεωργιος σταθακης,υπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,male,georgios_stathakis
