member_name,member_start_date,member_end_date,political_party,administrative_region,gender
παπαγιαννακης ελευθεριου μιχαηλ,2007-09-16,2009-05-26,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παπαγιαννης κανελλου μιχαηλ,1989-01-01,1989-06-02,νεα δημοκρατια,αττικης(υπολοιπο),male
παπαγιαννης κανελλου μιχαηλ,1989-11-05,1990-03-12,νεα δημοκρατια,αττικης(υπολοιπο),male
αραμπατζη αθανασιου φωτεινη,2012-05-06,2012-05-19,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2012-06-17,2014-12-31,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2015-01-25,2015-08-28,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2015-09-20,2019-06-11,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2019-07-07,2023-04-22,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2023-06-25,2023-11-13,νεα δημοκρατια,σερρων,female
παπαδακης χρηστου παρασχος,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,εβρου,male
παπαδακης χρηστου παρασχος,2023-06-25,2023-11-13,ελληνικη λυση - κυριακος βελοπουλος,εβρου,male
παπαδελλης γεωργιου φραγκλινος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,λεσβου,male
παπαδελλης γεωργιου φραγκλινος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,λεσβου,male
παπαδελλης γεωργιου φραγκλινος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,λεσβου,male
παπαδημας ηλια λαμπρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,male
παπαδημας ηλια λαμπρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,male
παπαδημας ηλια λαμπρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,male
παπαδημας ηλια λαμπρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,male
παπαδηματος παναγιωτη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,αχαιας,male
παπαδημητριου αθανασιου χαραλαμπος (μπαμπης),2019-07-07,2023-04-22,νεα δημοκρατια,β3' νοτιου τομεα αθηνων,male
παπαδημητριου αλεξανδρου γεωργιος,2007-09-16,2009-02-16,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male
παπαδημητριου δημητριου γεωργιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας,male
παπαδημητριου δημητριου ελισαβετ (ελσα),1993-10-10,1996-08-24,νεα δημοκρατια,αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),1996-09-22,2000-03-14,νεα δημοκρατια,αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),2000-04-09,2004-02-11,νεα δημοκρατια,αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),2004-03-07,2007-08-18,νεα δημοκρατια,αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),2007-09-16,2009-09-07,νεα δημοκρατια,αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),2011-06-29,2012-04-11,ανεξαρτητοι (εκτος κομματος),αργολιδος,female
παπαδημητριου δημητριου ελισαβετ (ελσα),2009-10-04,2011-06-28,νεα δημοκρατια,αργολιδος,female
