member_name,member_start_date,member_end_date,political_party,administrative_region
τσωνης αθανασιου νικολαος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
τσωνης αθανασιου νικολαος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,φθιωτιδας
υψηλαντης αναστασιου βασιλειος-νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,δωδεκανησου
υψηλαντης αναστασιου βασιλειος-νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,δωδεκανησου
υψηλαντης αναστασιου βασιλειος-νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,δωδεκανησου
βαρδακης δημητριου σωκρατης,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου
βαρδακης δημητριου σωκρατης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου
βαρδακης δημητριου σωκρατης,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου
βαρδακης δημητριου σωκρατης,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,ηρακλειου
φαικογλου φαικ αμετ,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ξανθης
φαικογλου φαικ αμετ,1990-04-08,1993-09-11,ανεξαρτητοι (εκτος κομματος),ξανθης
φαμελλος πετρου σωκρατης,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,β' θεσσαλονικης
φαμελλος πετρου σωκρατης,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,β' θεσσαλονικης
φαρακος κωνσταντινου γρηγοριος,1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1989-06-18,1989-10-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1989-11-05,1990-03-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαρακος κωνσταντινου γρηγοριος,1990-04-08,1993-09-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' αθηνων
φαραντουρη γερασιμου μαρια,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
φαραντουρη γερασιμου μαρια,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
