date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1989-11-23,διορισμος,κωνσταντινου σημιτη,υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,σωτηριου κουβελα,υπουργου πολιτισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,δημητριου μανικα,υπουργου δημοσιας ταξης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,ιωαννη δεληγιαννη,υπουργου μακεδονιας-θρακης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,αντωνιου φουσσα,υπουργου αιγαιου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,κωνσταντινου λιασκα,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,αναστασιου πεπονη,"υπουργου βιομηχανιας, ενεργειας & τεχνολογιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,ιωαννη βαρβιτσιωτη,υπουργου εμποριου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,αποστ.-αθανας. τσοχατζοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,νικολαου παππα,υπουργου εμπορικης ναυτιλιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,καρολου παπουλια,αναπληρωτη υπουργου εθνικης αμυνας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,ιωαννη ποττακη,αναπληρωτη υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,ιωαννη δραγασακη,αναπληρωτη υπουργου εθνικης οικονομιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,βασιλειου κοντογιαννοπουλου,αναπληρωτη υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,γρηγοριου γιανναρου,"αναπληρωτη υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,ιωαννη κεφαλογιαννη,αναπληρωτη υπουργου μεταφορων & επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-12-23,διορισμος,προκοπη παυλοπουλου,αναπληρωτη υπουργου προεδριας της κυβερνησης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
